Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api,,,,19-06-2024 23:26:58,19-06-2024 23:27:00,"2,708s",PASSED
,,,,,,,
Test Cases/ad,,,,19-06-2024 23:26:58,19-06-2024 23:27:00,"2,593s",PASSED
"sendRequest(findTestObject(""ac/New Request""))",,,,19-06-2024 23:26:58,19-06-2024 23:27:00,"2,406s",PASSED
